level,angle,D,oD,t,a,B,C1,C2,Q,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
焊接钢管1.6Mpa,180,150,165,5.5,0,0,0,82.5,0,82.5,5.05373737649806E-15,,165*5.5,DN150,,,,,,
无缝钢管,180,25,32,3.5,0,0,0,16,0,16,9.80118763926896E-16,,32*3.5,DN25,,,,,,
无缝钢管,180,32,38,3.5,0,0,0,19,0,19,1.16389103216319E-15,,38*3.5,DN32,,,,,,
无缝钢管,180,40,45,3.5,0,0,0,22.5,0,22.5,1.3782920117722E-15,,45*3.5,DN40,,,,,,
无缝钢管,180,50,57,3.5,0,0,0,28.5,0,28.5,1.74583654824478E-15,,57*3.5,DN50,,,,,,
无缝钢管,180,65,73,4,0,0,0,36.5,0,36.5,2.23589593020823E-15,,73*4,DN65,,,,,,
无缝钢管,180,80,89,4,0,0,0,44.5,0,44.5,2.72595531217168E-15,,89*4,DN80,,,,,,
无缝钢管,180,100,108,4,0,0,0,54,0,54,3.30790082825327E-15,,108*4,DN100,,,,,,
无缝钢管,180,125,133,4,0,0,0,66.5,0,66.5,4.07361861257116E-15,,133*4,DN125,,,,,,
无缝钢管,180,150,159,4.5,0,0,0,79.5,0,79.5,4.86996510826176E-15,,159*4.5,DN150,,,,,,
无缝钢管,180,200,219,6,0,0,0,109.5,0,109.5,6.70768779062469E-15,,219*6,DN200,,,,,,
无缝钢管,180,250,273,8,0,0,0,136.5,0,136.5,8.36163820475133E-15,,273*8,DN250,,,,,,
无缝钢管,180,300,325,8,0,0,0,162.5,0,162.5,9.95433119613254E-15,,325*8,DN300,,,,,,
无缝钢管,180,350,377,9,0,0,0,188.5,0,188.5,1.15470241875137E-14,,377*9,DN350,,,,,,
无缝钢管,180,400,426,9,0,0,0,213,0,213,1.30478310447768E-14,,426*9,DN400,,,,,,
无缝钢管,180,450,480,9,0,0,0,240,0,240,1.47017814589034E-14,,480*9,DN450,,,,,,
无缝钢管,180,500,530,9,0,0,0,265,0,265,1.62332170275392E-14,,530*9,DN500,,,,,,
无缝钢管,180,600,630,9,0,0,0,315,0,315,1.92960881648108E-14,,630*9,DN600,,,,,,
给水钢管,180,80,89,4,0,0,0,44.5,0,44.5,2.72595531217168E-15,,630*9,DN600,,,,,,
给水钢管,180,100,108,4,0,0,0,54,0,54,3.30790082825327E-15,,630*9,DN600,,,,,,
给水钢管,180,150,159,4,0,0,0,79.5,0,79.5,4.86996510826176E-15,,630*9,DN600,,,,,,
给水钢管,180,200,219,6,0,0,0,109.5,0,109.5,6.70768779062469E-15,,630*9,DN600,,,,,,
给水钢管,180,250,273,8,0,0,0,136.5,0,136.5,8.36163820475133E-15,,630*9,DN600,,,,,,
给水钢管,180,300,325,8,0,0,0,162.5,0,162.5,9.95433119613254E-15,,630*9,DN600,,,,,,
给水钢管,180,350,377,8,0,0,0,188.5,0,188.5,1.15470241875137E-14,,630*9,DN600,,,,,,
给水钢管,180,400,426,10,0,0,0,213,0,213,1.30478310447768E-14,,630*9,DN600,,,,,,
给水钢管,180,450,478,10,0,0,0,239,0,239,1.4640524036158E-14,,630*9,DN600,,,,,,
给水钢管,180,500,529,10,0,0,0,264.5,0,264.5,1.62025883161665E-14,,630*9,DN600,,,,,,
给水钢管,180,600,630,10,0,0,0,315,0,315,1.92960881648108E-14,,630*9,DN600,,,,,,
给水钢管,180,700,720,10,0,0,0,360,0,360,2.20526721883552E-14,,630*9,DN600,,,,,,
给水钢管,180,800,820,10,0,0,0,410,0,410,2.51155433256267E-14,,630*9,DN600,,,,,,
给水钢管,180,900,920,10,0,0,0,460,0,460,2.81784144628983E-14,,630*9,DN600,,,,,,
给水钢管,180,1000,1020,10,0,0,0,510,0,510,3.12412856001698E-14,,630*9,DN600,,,,,,
给水钢管,180,1200,1220,10,0,0,0,610,0,610,3.73670278747129E-14,,630*9,DN600,,,,,,
给水钢管,180,1400,1420,12,0,0,0,710,0,710,4.3492770149256E-14,,630*9,DN600,,,,,,
给水钢管,180,1600,1620,12,0,0,0,810,0,810,4.96185124237991E-14,,630*9,DN600,,,,,,
给水钢管,180,1800,1820,14,0,0,0,910,0,910,5.57442546983422E-14,,630*9,DN600,,,,,,
给水钢管,180,2000,2020,14,0,0,0,1010,0,1010,6.18699969728853E-14,,630*9,DN600,,,,,,
