level,angle,D,t,a,B,C1,C2,Q,F10,F11,F12,F13,F14,F15,level1
2,180,2000,200,400,3200,400,1200,2.858,1280000,3840000,2261946.7106,8.8210688753e-11,2.8580532894,,2、3
2,180,2200,220,440,3520,440,1320,3.458,1548800,4646400,2736955.5198,1.0673493339e-10,3.4582444802,,2、3
2,180,2400,230,460,3780,460,1430,3.932,1738800,5405400,3212121.4087,1.2526530377e-10,3.9320785913,,2、3
2,180,2600,235,470,4010,470,1535,4.339,1884700,6155350,3701149.5751,1.4433627091e-10,4.3389004249,,2、3
2,180,2800,255,510,4330,510,1655,5.072,2208300,7166150,4302450.409,1.6778561234e-10,5.071999591,,2、3
2,180,3000,275,550,4650,550,1775,5.862,2557500,8253750,4948990.1771,1.9299916754e-10,5.8622598229,,2、3
3,180,600,60,120,960,120,360,0.257,115200,345600,203575.20395,7.9389619878e-12,0.25722479605,,2、3
3,180,700,70,140,1120,140,420,0.35,156800,470400,277088.47205,1.0805809372e-11,0.35011152795,,2、3
3,180,800,80,160,1280,160,480,0.457,204800,614400,361911.47369,1.4113710201e-11,0.45728852631,,2、3
3,180,900,90,180,1440,180,540,0.579,259200,777600,458044.20889,1.7862664473e-11,0.57875579111,,2、3
3,180,1000,100,200,1600,200,600,0.715,320000,960000,565486.67765,2.2052672188e-11,0.71451332235,,2、3
3,180,1100,110,220,1760,220,660,0.865,387200,1161600,684238.87995,2.6683733348e-11,0.86456112005,,2、3
3,180,1200,120,240,1920,240,720,1.029,460800,1382400,814300.81581,3.1755847951e-11,1.0288991842,,2、3
3,180,1350,135,270,2160,270,810,1.302,583200,1749600,1030599.47,4.0190995063e-11,1.30220053,,2、3
3,180,1500,150,300,2400,300,900,1.608,720000,2160000,1272345.0247,4.9618512424e-11,1.6076549753,,2、3
3,180,1650,165,330,2640,330,990,1.945,871200,2613600,1539537.4799,6.0038400033e-11,1.9452625201,,2、3
3,180,1800,180,360,2880,360,1080,2.315,1036800,3110400,1832176.8356,7.145065789e-11,2.3150231644,,2、3
3,180,2000,200,400,3200,400,1200,2.858,1280000,3840000,2261946.7106,8.8210688753e-11,2.8580532894,,2、3
3,180,2200,220,440,3520,440,1320,3.458,1548800,4646400,2736955.5198,1.0673493339e-10,3.4582444802,,2、3
3,180,2400,230,460,3780,460,1430,3.932,1738800,5405400,3212121.4087,1.2526530377e-10,3.9320785913,,2、3
3,180,2600,235,470,4010,470,1535,4.339,1884700,6155350,3701149.5751,1.4433627091e-10,4.3389004249,,2、3
3,180,2800,255,510,4330,510,1655,5.072,2208300,7166150,4302450.409,1.6778561234e-10,5.071999591,,2、3
